Inspection ID	valid
659932	valid
659733	valid
659681	valid
666251	valid
659448	valid
659343	valid
659282	valid
606479	valid
537837	valid
604496	valid
659221	valid
659214	valid
635185	invalid
606466	valid
635002	invalid
537627	valid
634974	valid
614527	valid
634890	valid
537616	valid
634580	valid
634511	valid
634504	valid
634484	valid
557522	valid
586148	valid
585956	valid
585879	valid
569422	valid
525340	valid
612256	valid
598237	valid
525214	valid
612233	valid
347300	valid
598236	valid
598235	invalid
612215	valid
608210	valid
537321	valid
580633	valid
580556	valid
580547	valid
577289	valid
580485	valid
580392	valid
577272	valid
114884	valid
580238	valid
580237	valid
580235	invalid
580233	valid
580232	valid
347310	valid
347309	valid
347308	valid
521323	valid
251185	valid
531254	valid
579746	valid
549254	valid
453328	invalid
537245	valid
525253	valid
251137	valid
579553	valid
525238	valid
549241	valid
579263	valid
579256	valid
491846	valid
525229	valid
525228	valid
491811	valid
525226	valid
531225	valid
491395	valid
453344	invalid
391371	valid
88643	valid
453327	invalid
365467	valid
483133	valid
114703	valid
472138	valid
472128	valid
453297	invalid
365428	valid
397240	valid
409418	valid
467151	valid
297250	valid
397237	valid
297244	valid
455696	valid
166226	valid
391248	valid
335363	invalid
401288	valid
419693	valid
419465	valid
419311	valid
419250	valid
414066	valid
413977	valid
413974	valid
413699	valid
413369	valid
285013	valid
277283	valid
277018	valid
98502	valid
250657	valid
250616	valid
250605	valid
250459	valid
250408	valid
250378	valid
250364	valid
234137	valid
234039	valid
233846	valid
233751	valid
233582	invalid
80285	valid
177151	valid
215299	valid
78394	valid
60405	valid
78385	valid
215276	valid
120396	valid
70375	valid
70364	valid
58348	valid
112339	valid
229253	valid
63277	valid
58325	valid
58324	valid
58322	valid
229239	valid
229240	valid
58323	valid
58321	valid
229238	valid
58320	valid
229237	valid
58319	valid
229236	valid
58318	valid
176288	valid
215218	valid
154277	valid
154276	valid
58304	valid
98368	valid
60291	valid
60282	valid
160236	valid
60279	valid
98352	invalid
67912	valid
78258	valid
67788	valid
68258	valid
67807	valid
58237	valid
78247	valid
58236	valid
67800	valid
58232	valid
154225	valid
58235	invalid
67793	valid
